,importance
school_encoded,0.0003491478379963156
accuracy_rate_4w,0.01754134990137182
score_4w,0.02002676710291402
num_courses,0.03252534485791348
is_correct_4w,0.846851411112953
attempts_4w,1.1736364312948813
